Time:1Hz,Epoch,F3,F4,C3,Cz,C4,P3,P4,O1,O2,Event Id,Event Date,Event Duration
35.1250000000,562,10.8054418104,16.2219298885,3.1117255426,2.3776335702,4.2759480569,13.4097562156,5.0295088520,6.0211628859,2.2249184040,,,
35.1875000000,563,10.4227095433,15.6551874339,2.7144942790,2.1789194079,4.0260609803,12.9825393949,4.6851116448,6.0928953045,2.0515927126,,,
35.2500000000,564,9.8377730121,14.2470357465,2.2648429626,2.0805678205,3.9336557444,12.1057811927,4.4734119193,6.2816430028,1.9376775343,,,
35.3125000000,565,8.7746321858,12.3558647368,2.0036474589,1.9877258488,3.8933737780,10.9712920793,4.3108625469,6.5523870542,1.8922720861,,,
35.3750000000,566,7.6712541993,10.4566460584,1.8688520161,1.8736883822,3.7864497898,9.9691321825,4.1863221596,6.8508070331,1.7833300774,,,
35.4375000000,567,6.5481956352,8.4615649212,1.7059462927,1.7535714224,3.6007167750,9.0219124455,3.7345560432,7.0087620888,1.4623858359,,,
35.5000000000,568,5.7321997972,6.6502154240,1.4579401775,1.5916398044,3.4238916369,8.0312496014,3.0448267820,6.9165100942,1.0786147279,,,
35.5625000000,569,5.4663080727,5.5452338269,1.1481772240,1.4441980616,3.1642534799,6.9539740941,2.6525320199,6.5406012032,0.9549517709,,,
35.6250000000,570,5.2491791043,5.1263620355,0.7778298396,1.3275802030,2.6744784333,5.7678679875,2.5080283786,5.9050040671,0.9954404573,,,
35.6875000000,571,4.5330594433,4.7384262312,0.5339684628,1.2267609687,2.1945186329,4.5279118848,2.4035085826,5.1424287068,1.0673995137,,,
35.7500000000,572,3.4035490540,4.1680025882,0.4954348107,1.1057478300,1.9570189164,3.4860376915,2.2987828604,4.5579977673,1.1593467901,,,
35.8125000000,573,2.5303971401,3.6344314551,0.5185934853,0.9922946612,1.8533845136,2.9316142142,2.1230237273,4.3600489367,1.2046079782,,,
35.8750000000,574,2.2439571017,3.4254089048,0.5178930083,0.9146273069,1.7920291003,2.9100169271,1.9656245624,4.5326463289,1.2985546481,,,
35.9375000000,575,1.9246806215,3.2474006000,0.5456888422,0.9419622684,1.6541640692,2.9842154089,1.6688702560,4.8417371828,1.5081052936,,,
36.0000000000,576,1.5863181108,3.1329054867,0.6483809797,0.9831022933,1.5229158887,3.0670902627,1.2082471379,4.9724625214,1.7024496030,,,
36.0625000000,577,1.7385359712,3.1714416981,0.7415356988,0.9532070612,1.5174774168,3.2247851249,1.0051303869,4.9712243532,1.7909025384,,,
36.1250000000,578,1.7962177763,3.2241267561,0.8977663274,0.8880735418,1.6016340714,3.3618148454,1.0186842327,4.9791835618,1.8167926311,,,
36.1875000000,579,1.6926273549,3.4886165387,1.0077097869,0.7897255578,1.6428755439,3.4574285874,1.0222592950,5.1637260912,1.7827472894,,,
36.2500000000,580,1.6817240262,3.7569999689,1.0396301619,0.7187167914,1.4397463921,3.2932570092,0.8930759005,5.0846716773,1.8503341134,,,
36.3125000000,581,1.7736349091,3.9205750553,1.0497823673,0.6777551438,1.1481515869,3.1392627102,0.7380051667,4.6146264799,1.8820265339,,,
36.3750000000,582,1.8857379780,3.8503334256,1.0834035793,0.6502035503,0.9253940567,2.9355440788,0.5772846964,4.0006587987,1.8166164656,,,
36.4375000000,583,1.8667516354,3.5959939913,1.1152632419,0.6376630773,0.8311062830,2.7174023980,0.4429048798,3.4113641755,1.6614930577,,,
36.5000000000,584,1.7042553195,3.2692356540,1.1174938962,0.6190826361,0.7784887783,2.4158896227,0.4223986266,2.9097894597,1.5375312290,,,
36.5625000000,585,1.5461568114,2.9385550007,1.1060478538,0.6035665424,0.7426651221,2.0961562332,0.4133828232,2.4642448843,1.5019308227,,,
36.6250000000,586,1.5920225132,2.7930431732,1.0840139657,0.5908795833,0.7321082454,1.9226808939,0.3945468671,2.2611959742,1.5845174171,,,
